"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Jan 08 00:30:51 PST 2024","Mon Jan 08 00:30:59 PST 2024","8353","chromium","home.spec.ts","Home","","","Verify that you are able to click on Contact on the menu",""
"passed","Mon Jan 08 00:30:45 PST 2024","Mon Jan 08 00:30:51 PST 2024","5906","chromium","home.spec.ts","Home","","","Open AboutUs and Verify Title",""
"passed","Mon Jan 08 00:30:51 PST 2024","Mon Jan 08 00:30:55 PST 2024","4520","chromium","home.spec.ts","Home","","","Verify and assert the text after filling up the contact us",""
"passed","Mon Jan 08 00:30:45 PST 2024","Mon Jan 08 00:30:51 PST 2024","5866","chromium","home.spec.ts","Home","","","Verify heading text is visible using text selector",""
"passed","Mon Jan 08 00:30:51 PST 2024","Mon Jan 08 00:30:53 PST 2024","2491","chromium","home.spec.ts","Home","","","Verify the text for all nav links",""
"passed","Mon Jan 08 00:30:45 PST 2024","Mon Jan 08 00:30:52 PST 2024","6673","chromium","home.spec.ts","Home","","","Verify Search icon is visible or not using Xpath selector",""
"passed","Mon Jan 08 00:30:45 PST 2024","Mon Jan 08 00:30:51 PST 2024","6377","chromium","home.spec.ts","Home","","","Verify home link is visible using text and css selector",""
"passed","Mon Jan 08 00:30:45 PST 2024","Mon Jan 08 00:30:51 PST 2024","5820","chromium","home.spec.ts","Home","","","Open HomePage and Verify Title",""
"passed","Mon Jan 08 00:30:45 PST 2024","Mon Jan 08 00:30:51 PST 2024","6172","chromium","home.spec.ts","Home","","","Click get started button using CSS Selector",""
"passed","Mon Jan 08 00:30:51 PST 2024","Mon Jan 08 00:30:55 PST 2024","3930","chromium","home.spec.ts","Home","","","Verify the number of links present in Recent posts in Blog page",""
